1, 32, 0, 0.0
1, 32, 50, 11.0350360944
1, 32, 100, 12.7198808215
1, 32, 150, 13.0670077896
1, 32, 200, 13.4060827497
1, 32, 250, 13.1996982051
1, 32, 300, 13.5401735659
2, 16, 0, 0.0
2, 16, 50, 15.9224613354
2, 16, 100, 19.8215546666
2, 16, 150, 22.6466577975
2, 16, 200, 23.3899880429
2, 16, 250, 22.8378391799
2, 16, 300, 23.4889133626
4, 8, 0, 0.0
4, 8, 50, 13.9575869194
4, 8, 100, 25.0170690053
4, 8, 150, 27.1139972384
4, 8, 200, 28.7221133561
4, 8, 250, 70.9560871512
4, 8, 300, 76.5723160692
8, 4, 0, 0.0
8, 4, 50, 18.2082235992
8, 4, 100, 16.9064134591
8, 4, 150, 27.6633996527
8, 4, 200, 30.6580125823
8, 4, 250, 33.0008000186
8, 4, 300, 30.4759210566
